RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
128,Rice University,,,,,,3437.0,7534.0,7318.0,24321.0,41517.0,,,,,,,,,,,,5147.0,,,,7433.0,,36122.0,,,,,65150.0,,49112.0,49112.0,,12000,7321,11812,11000,,,,,,2573561,5331397,697784,3620942,630663,3671456,4107619,5407731,0.35-0.39,0.30-0.34,0.35-0.39,0.35-0.39,,,69373.0,74727.0,,69373.0,74727.0
132,University of Colorado Denver | Anschutz Medical Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,University of Iowa,12975.0,15073.0,18272.0,20738.0,22355.0,,,,,,,,,,,,,,,,13917.0,,,,17026.0,,21747.0,,,,,,24239.0,,9606.0,31569.0,,22500,17211,17317,18324,,,,,,106384234,142030690,46548221,91688325,21345792,68578256,89651931,95659818,0.32,0.09,0.37,0.14,,,44564.0,57730.0,,44564.0,57730.0
138,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Case Western Reserve University,,,,,,18708.0,19034.0,22236.0,29607.0,41895.0,,,,,,,,,,,,18802.0,,,,21053.0,,39914.0,,,,,67277.0,,50924.0,50924.0,,24501,20750,24696,21000,,,,,,15482156,27470824,5697588,16710280,3990608,14540426,18487475,23266436,0.35,0.23,0.36,0.29,,,61888.0,75546.0,,61888.0,75546.0
142,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Michigan State University,6686.0,15197.0,20696.0,25389.0,27543.0,,,,,,,,,,,,,,,,9402.0,,,,17993.0,,26848.0,,,,,,28402.0,,14460.0,39766.0,,23733,16745,21500,20500,,,,,,216234052,263174859,96115952,164272537,64513809,146009497,186973780,200573681,0.34,0.10,0.35,0.14,,,47200.0,60601.0,,47200.0,60601.0
150,Oregon Health & Science University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16625,16625,16625,16172,,,,,,8894727,13783479,2239885,5412010,1464023,6258955,9104628,10089122,0.45-0.46,0.09-0.10,0.47-0.48,0.09-0.10,,,85024.0,94083.0,,85024.0,94083.0
152,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,,,73581.0,111502.0,,73581.0,111502.0
153,Tufts University,,,,,,5267.0,6516.0,13525.0,27430.0,51038.0,,,,,,,,,,,,5923.0,,,,10348.0,,45276.0,,,,,73466.0,,58578.0,58578.0,,16750,10500,13500,16000,,,,,,11373112,21449361,5187001,15664392,3499476,15087434,10985515,14287714,0.47-0.48,0.21-0.22,0.43-0.44,0.27-0.28,,,55909.0,74058.0,,55909.0,74058.0
159,University of Notre Dame,,,,,,12498.0,15609.0,17768.0,24392.0,44547.0,,,,,,,,,,,,13583.0,,,,16874.0,,40985.0,,,,,71780.0,,55553.0,55553.0,,19000,15420,17125,19000,,,,,,16625024,37924305,5238224,26574417,5506624,28623806,24929384,32041750,0.44,0.22,0.44,0.27,,,65627.0,83696.0,,65627.0,83696.0
166,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Iowa State University,10054.0,10843.0,14161.0,17228.0,18895.0,,,,,,,,,,,,,,,,10459.0,,,,12846.0,,18185.0,,,,,,21093.0,,9320.0,24508.0,,22754,18408,18500,19000,,,,,,127724553,185599555,50585214,112110730,31400757,101816485,143899802,158837414,0.38,0.12,0.41,0.16,,,47452.0,57669.0,,47452.0,57669.0
179,University of Georgia,7541.0,10241.0,14748.0,17105.0,17369.0,,,,,,,,,,,,,,,,8638.0,,,,12596.0,,17281.0,,,,,,26530.0,,12080.0,31120.0,,18625,17000,16438,16035,,,,,,91324331,112487568,40735763,68170961,31942595,80543609,93161023,97962873,0.35,0.10,0.39,0.14,,,45220.0,56318.0,,45220.0,56318.0
181,University of Massachusetts Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,University of Missouri–Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,University of Alabama at Birmingham,14554.0,15526.0,18197.0,19455.0,19451.0,,,,,,,,,,,,,,,,14860.0,,,,16942.0,,19453.0,,,,,,24495.0,,8568.0,20400.0,,22250,16219,15000,14591,,,,,,99807450,94767971,50005233,54739365,19850543,33920856,59669705,59340540,0.21,0.05,0.22,0.07,,,45270.0,52404.0,,45270.0,52404.0
192,University of Connecticut,12381.0,14157.0,19243.0,26179.0,28653.0,,,,,,,,,,,,,,,,13191.0,,,,16776.0,,27970.0,,,,,,32016.0,,17226.0,39894.0,,21500,18024,19068,19500,,,,,,102938051,147691010,31461892,78951092,14189391,55296431,113869818,126914726,0.39,0.12,0.40,0.17,,,50446.0,65432.0,,50446.0,65432.0
193,University of Texas Health Science Center at Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Yeshiva University,,,,,,25214.0,23662.0,25817.0,40986.0,50427.0,,,,,,,,,,,,24714.0,,,,25073.0,,48497.0,,,,,62075.0,,44900.0,44900.0,,19318,13250,16526,14000,,,,,,6445366,9716670,2028032,5797925,1163322,6153605,4936093,5436047,0.30-0.34,0.10-0.14,0.30-0.34,0.20-0.24,,,57173.0,74760.0,,57173.0,74760.0
196,University of Miami,,,,,,42611.0,36623.0,38540.0,44741.0,54089.0,,,,,,,,,,,,39864.0,,,,37738.0,,52127.0,,,,,67249.0,,51930.0,51930.0,,17500,16500,16250,13750,,,,,,44209698,55603637,22143082,42153503,25757218,47326797,29317385,32466835,0.33,0.13,0.32,0.16,,,50273.0,61350.0,,50273.0,61350.0
203,University of Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"University of Maryland, Baltimore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Louisiana State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,University of Kansas,14387.0,15380.0,17132.0,20981.0,23231.0,,,,,,,,,,,,,,,,14866.0,,,,16298.0,,22371.0,,,,,,25892.0,,11166.0,28034.0,,21000,15302,15750,15604,,,,,,96230253,118571832,44758328,77582773,16869421,51324857,72635507,76029983,0.32,0.09,0.36,0.13,,,44363.0,56379.0,,44363.0,56379.0
234,Indiana University – Purdue University Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Wake Forest University,,,,,,5250.0,5981.0,12004.0,23550.0,50359.0,,,,,,,,,,,,5509.0,,,,9507.0,,43269.0,,,,,71560.0,,55440.0,55440.0,,21226,17812,19482,20358,,,,,,12241124,18107690,3733201,10847718,1372305,8300877,11823418,13001452,0.35-0.36,0.11-0.12,0.39-0.40,0.19-0.20,,,49929.0,75161.0,,49929.0,75161.0
243,Colorado State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"University of California, Riverside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Virginia Commonwealth University,16768.0,17529.0,20868.0,24684.0,28155.0,,,,,,,,,,,,,,,,17098.0,,,,19198.0,,26899.0,,,,,,31235.0,,14596.0,35904.0,,21500,18000,17500,15500,,,,,,166342656,179987668,72170472,94982173,53713008,90274236,119987196,124228658,0.28,0.07,0.30,0.09,,,38339.0,52266.0,,38339.0,52266.0
247,Florida State University,5360.0,6816.0,10583.0,15074.0,16000.0,,,,,,,,,,,,,,,,5913.0,,,,8685.0,,15637.0,,,,,,22026.0,,5656.0,18786.0,,18750,15649,16250,17045,,,,,,182265734,201962419,95190335,129939793,30213706,101195322,148920148,153992641,0.29,0.09,0.30,0.11,,,38690.0,52382.0,,38690.0,52382.0
249,Brandeis University,,,,,,13567.0,16074.0,20122.0,29713.0,49781.0,,,,,,,,,,,,14450.0,,,,18416.0,,43396.0,,,,,73266.0,,57561.0,57561.0,,25797,20630,25000,23250,,,,,,14364435,24065871,4153190,12218068,3097396,13393111,15349247,18151102,0.41-0.42,0.17-0.18,0.35-0.36,0.23-0.24,,,45085.0,62879.0,,45085.0,62879.0
250,Oregon State University,14157.0,15770.0,20346.0,23645.0,24405.0,,,,,,,,,,,,,,,,14750.0,,,,18104.0,,24127.0,,,,,,26631.0,,11715.0,31215.0,,21793,16376,16119,14796,,,,,,138175135,165551949,41027315,71201595,15085783,49480293,107526978,114250252,0.36,0.09,0.36,0.12,,,43364.0,56424.0,,43364.0,56424.0
252,Wayne State University,11413.0,11554.0,13668.0,17909.0,19128.0,,,,,,,,,,,,,,,,11454.0,,,,12649.0,,18599.0,,,,,,24231.0,,13517.0,28887.0,,21500,17656,16500,15000,,,,,,208875670,189217084,109437886,108033257,21214258,35917771,87913426,88135404,0.21,0.07,0.22,0.09,,,45524.0,53971.0,,45524.0,53971.0
253,"University of Tennessee, Knoxville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,University of New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,University of Kentucky,11848.0,12872.0,15733.0,20337.0,23189.0,,,,,,,,,,,,,,,,12250.0,,,,14308.0,,22040.0,,,,,,29289.0,,12360.0,30680.0,,22974,17000,17150,16750,,,,,,102860998,119989063,43445043,69763662,23142764,56662622,97807444,101279574,0.27,0.08,0.30,0.11,,,41289.0,51633.0,,41289.0,51633.0
261,University of South Florida,3950.0,5616.0,9809.0,14214.0,15247.0,,,,,,,,,,,,,,,,4578.0,,,,7400.0,,14797.0,,,,,,21282.0,,6410.0,17324.0,,18341,15500,15187,15750,,,,,,281108640,284118558,145506608,169244752,37247950,101718857,165282223,166852159,0.25,0.07,0.26,0.08,,,39907.0,49819.0,,39907.0,49819.0
272,University at Buffalo,12605.0,15121.0,19834.0,21081.0,24207.0,,,,,,,,,,,,,,,,13398.0,,,,17541.0,,22988.0,,,,,,26035.0,,10524.0,28194.0,,19250,13093,13500,15000,,,,,,96099346,122225501,52967141,85026802,23166906,69203944,82832266,90585978,0.33,0.12,0.34,0.16,,,41881.0,58053.0,,41881.0,58053.0
274,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Washington State University,9334.0,11337.0,15548.0,22090.0,23961.0,,,,,,,,,,,,,,,,10099.0,,,,13634.0,,23244.0,,,,,,25762.0,,11841.0,26419.0,,20000,14500,14000,14500,,,,,,130083167,165931043,50460869,103609351,34208695,86149511,101364808,108587032,0.37,0.09,0.38,0.14,,,46800.0,60924.0,,46800.0,60924.0
281,University of South Carolina - Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,University of Delaware,11487.0,12236.0,14622.0,18614.0,23617.0,,,,,,,,,,,,,,,,11835.0,,,,13518.0,,21888.0,,,,,,26960.0,,14280.0,35710.0,,24572,18425,21250,21500,,,,,,63870263,105259305,18314643,50395671,10542232,49574211,88845294,101320879,0.41,0.13,0.44,0.18,,,48980.0,65354.0,,48980.0,65354.0
288,Georgetown University,,,,,,5248.0,8678.0,13933.0,23835.0,47674.0,,,,,,,,,,,,7112.0,,,,11655.0,,41238.0,,,,,73840.0,,56058.0,56058.0,,16500,9975,14000,15210,,,,,,13806273,25057034,6090942,21590330,5231764,23696512,13659409,17671732,0.52,0.21,0.43,0.28,,,69193.0,88039.0,,69193.0,88039.0
298,University of Houston,10203.0,9925.0,12505.0,18844.0,20129.0,,,,,,,,,,,,,,,,10094.0,,,,11078.0,,19576.0,,,,,,22721.0,,9221.0,21749.0,,18500,14100,13307,14332,,,,,,186143731,205750570,83720733,122715218,35515243,66440883,123998270,129865844,0.30,0.09,0.30,0.12,,,45815.0,55929.0,,45815.0,55929.0
303,University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,University of Hawaii at Manoa,10986.0,12540.0,15372.0,18547.0,21373.0,,,,,,,,,,,,,,,,11529.0,,,,14063.0,,19934.0,,,,,,23636.0,,12186.0,34218.0,,18575,15124,12476,13375,,,,,,62780123,77220014,21761528,37301061,6852389,19301402,42682471,45081751,0.32,0.10,0.37,0.13,,,39900.0,51430.0,,39900.0,51430.0
307,George Washington University,,,,,,17614.0,17924.0,22287.0,29282.0,46572.0,,,,,,,,,,,,17759.0,,,,20348.0,,42192.0,,,,,71702.0,,56935.0,56935.0,,20500,19500,20500,19500,,,,,,42455719,64925128,13622206,34716249,9307153,28465947,43184672,50008792,0.40,0.14,0.41,0.18,,,60822.0,77757.0,,60822.0,77757.0
312,University of Nebraska–Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,University of Texas Health Science Center at San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,George Mason University,16204.0,17060.0,20468.0,23266.0,25480.0,,,,,,,,,,,,,,,,16575.0,,,,18784.0,,24623.0,,,,,,26773.0,,12564.0,36024.0,,19750,16465,16500,15500,,,,,,105812258,137768087,32015590,65048347,16024870,51396141,102818336,112370618,0.34,0.11,0.36,0.15,,,51415.0,64695.0,,51415.0,64695.0
329,Thomas Jefferson University,,,,,,18118.0,20167.0,22312.0,27676.0,31092.0,,,,,,,,,,,,18982.0,,,,21281.0,,29983.0,,,,,58295.0,,41866.0,41866.0,,22750,12500,14000,12500,,,,,,33662216,44336713,11783130,27874096,6410095,22800897,20393242,21507119,0.41,0.08,0.41,0.11,,,65464.0,64065.0,,65464.0,64065.0
332,Medical University of South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15072,15625,12500,9450,,,,,,2388763,3642052,1639621,3866074,483945,6282092,3372071,3655404,0.50-0.54,0.05-0.09,0.35-0.39,0.10-0.14,,,62058.0,69864.0,,62058.0,69864.0
340,Temple University,18315.0,18879.0,21743.0,25075.0,27623.0,,,,,,,,,,,,,,,,18519.0,,,,20550.0,,26828.0,,,,,,31958.0,,16970.0,29882.0,,24499,20575,20479,19500,,,,,,235057499,276926321,104347401,165805920,61599925,104764818,181108218,190941220,0.32,0.08,0.34,0.11,,,41938.0,54295.0,,41938.0,54295.0
343,Northeastern University,,,,,,10239.0,12823.0,17692.0,25744.0,43383.0,,,,,,,,,,,,11383.0,,,,15715.0,,39520.0,,,,,70565.0,,53506.0,53506.0,,24500,22625,22753,22250,,,,,,78201799,128808434,31817052,90733447,17466673,65430388,65844124,80488848,0.43,0.18,0.44,0.21,,,67204.0,81396.0,,67204.0,81396.0
351,"University at Albany, SUNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Drexel University,,,,,,25234.0,27057.0,33324.0,36496.0,42021.0,,,,,,,,,,,,25968.0,,,,30180.0,,40637.0,,,,,67955.0,,54516.0,54516.0,,26000,19039,21500,20500,,,,,,81591497,121424894,28576712,74416248,15324400,46238217,83069046,94173422,0.44,0.12,0.46,0.17,,,65794.0,77980.0,,65794.0,77980.0
361,Kansas State University,14232.0,15089.0,16889.0,19892.0,21186.0,,,,,,,,,,,,,,,,14606.0,,,,16072.0,,20705.0,,,,,,24304.0,,10440.0,26316.0,,21500,17216,18167,17750,,,,,,111088972,136759534,48724861,95505869,25561646,73294630,85774620,91557907,0.35,0.10,0.35,0.15,,,44456.0,52875.0,,44456.0,52875.0
372,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Medical College of Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,,,66076.0,121003.0,,66076.0,121003.0
375,University of Vermont,12015.0,12715.0,16837.0,21595.0,26751.0,,,,,,,,,,,,,,,,12332.0,,,,15117.0,,24335.0,,,,,,33467.0,,18802.0,43690.0,,21111,15268,18500,17186,,,,,,46911821,70872284,14364720,39235177,6124022,32295499,43529324,49009355,0.42,0.11,0.46,0.14,,,38345.0,52103.0,,38345.0,52103.0
392,"University of Oklahoma, Norman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,University of Louisville,13058.0,14341.0,16795.0,20569.0,21737.0,,,,,,,,,,,,,,,,13521.0,,,,15616.0,,21232.0,,,,,,27604.0,,11928.0,27954.0,,20281,12698,14000,13464,,,,,,91651760,98414752,44354732,60136232,27305315,45823741,57134543,59421379,0.26,0.10,0.27,0.13,,,44418.0,51510.0,,44418.0,51510.0
427,University of Oregon,12690.0,13108.0,15109.0,22282.0,23691.0,,,,,,,,,,,,,,,,12859.0,,,,14147.0,,23159.0,,,,,,26205.0,,12720.0,36615.0,,20500,16500,15334,14500,,,,,,104767167,123179339,45532020,67129564,20324322,53707207,67715270,71526185,0.33,0.09,0.33,0.14,,,33326.0,51447.0,,33326.0,51447.0
428,Tulane University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Rensselaer Polytechnic Institute,,,,,,22662.0,24361.0,26797.0,34046.0,43869.0,,,,,,,,,,,,23386.0,,,,25647.0,,41772.0,,,,,71998.0,,55378.0,55378.0,,24194,22250,21500,20500,,,,,,16721984,39569573,4467286,24972259,3320618,23303608,27794582,35454678,0.49,0.20,0.50,0.27,,,70951.0,89152.0,,70951.0,89152.0
434,Rush University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,25750,PS,PS,,,,,,1214280,1710731,763863,3383557,781675,2961269,1207737,1391462,0.40-0.59,<=0.20,0.40-0.59,<=0.20,,,87548.0,86837.0,,87548.0,86837.0
436,Texas Tech University,12317.0,13326.0,17421.0,21305.0,22270.0,,,,,,,,,,,,,,,,12723.0,,,,15367.0,,21948.0,,,,,,24054.0,,9300.0,19260.0,,22000,18500,15999,15000,,,,,,163586015,186902451,60896149,106616831,31622584,70248351,136067840,140061515,0.29,0.07,0.30,0.10,,,44926.0,55135.0,,44926.0,55135.0
440,Saint Louis University,,,,,,20051.0,21082.0,23734.0,26969.0,33946.0,,,,,,,,,,,,20550.0,,,,22482.0,,32077.0,,,,,60092.0,,45424.0,45424.0,,25000,20531,20819,20500,,,,,,47229268,61382071,19265659,36528835,15394153,34548471,41141375,44665503,0.37,0.11,0.38,0.17,,,51522.0,64008.0,,51522.0,64008.0
454,University of Central Florida,6211.0,7847.0,11161.0,15192.0,16304.0,,,,,,,,,,,,,,,,6816.0,,,,9481.0,,15795.0,,,,,,21402.0,,6368.0,22467.0,,18635,14899,14920,15750,,,,,,322547923,342302759,94794190,131863259,26981849,92426156,145266609,145959277,0.21,0.07,0.32,0.09,,,39293.0,49979.0,,39293.0,49979.0
458,University of Mississippi,9455.0,11566.0,17415.0,19539.0,20417.0,,,,,,,,,,,,,,,,10078.0,,,,14045.0,,20088.0,,,,,,25223.0,,8828.0,25100.0,,20335,16096,15000,15000,,,,,,104646700,104982325,45428349,56913336,17583619,35125761,45128722,44781720,0.27,0.06,0.32,0.08,,,44413.0,49924.0,,44413.0,49924.0
468,University of Texas Medical Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,West Virginia University,9213.0,10486.0,13220.0,16189.0,16668.0,,,,,,,,,,,,,,,,9678.0,,,,11967.0,,16443.0,,,,,,22238.0,,8976.0,25320.0,,22786,13130,15240,16500,,,,,,167419041,182610274,66968289,101024367,31427356,76821089,117293412,118777372,0.27,0.07,0.32,0.08,,,41408.0,54180.0,,41408.0,54180.0
479,Georgia State University,11991.0,12661.0,15145.0,17290.0,17681.0,,,,,,,,,,,,,,,,12231.0,,,,13750.0,,17509.0,,,,,,23636.0,,9286.0,24517.0,,21500,12500,12000,11000,,,,,,343407049,312312543,137766585,135689665,72969065,94184568,162891747,158220185,0.17,0.04,0.18,0.05,,,35791.0,48806.0,,35791.0,48806.0
480,Southern Methodist University,,,,,,26718.0,27331.0,31813.0,34587.0,43206.0,,,,,,,,,,,,26945.0,,,,29885.0,,41595.0,,,,,74306.0,,56560.0,56560.0,,20006,17750,19500,15789,,,,,,19465249,27062633,9037110,18443230,7274007,20256194,11169684,12633328,0.35-0.36,0.13-0.14,0.41-0.42,0.19-0.20,,,62462.0,76708.0,,62462.0,76708.0
482,University of Nebraska Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,15125,14885,13750,,,,,,6509669,10460816,3521871,9878289,2396880,8347850,7448214,8501073,0.57-0.58,0.09-0.10,0.51-0.52,0.13-0.14,,,67689.0,69210.0,,67689.0,69210.0
485,San Diego State University,8870.0,10594.0,14730.0,18766.0,22048.0,,,,,,,,,,,,,,,,9475.0,,,,12678.0,,20942.0,,,,,,23054.0,,7510.0,19390.0,,15000,12498,12500,14998,,,,,,112524704,136268869,69153564,106729246,49890056,121997028,96648463,102928475,0.35,0.09,0.37,0.13,,,39644.0,55813.0,,39644.0,55813.0
490,University of Alabama - Tuscaloosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Clemson University,13698.0,14413.0,18971.0,22937.0,23933.0,,,,,,,,,,,,,,,,14040.0,,,,17014.0,,23539.0,,,,,,31158.0,,15558.0,38550.0,,21500,19750,19500,19000,,,,,,68911255,95557042,22142085,51525465,4920928,38910229,77664858,84453390,0.34,0.12,0.38,0.16,,,48784.0,61914.0,,48784.0,61914.0
498,University of Wyoming,8231.0,9200.0,11491.0,14958.0,16135.0,,,,,,,,,,,,,,,,8601.0,,,,10578.0,,15663.0,,,,,,19960.0,,5581.0,18151.0,,18318,12500,12095,11000,,,,,,45580359,55130869,22911445,40309123,12977308,38274131,32597187,34025851,0.32,0.09,0.34,0.13,,,43173.0,52468.0,,43173.0,52468.0
499,Lehigh University,,,,,,14080.0,13363.0,19924.0,26906.0,45789.0,,,,,,,,,,,,13802.0,,,,17106.0,,40497.0,,,,,68383.0,,55240.0,55240.0,,23000,14495,19500,22791,,,,,,11989879,27338879,2794071,16241781,2734006,17153641,18203380,23084642,0.49,0.19,0.45,0.27,,,67872.0,88766.0,,67872.0,88766.0
507,Brigham Young University,,,,,,8834.0,10425.0,12466.0,15362.0,17782.0,,,,,,,,,,,,9386.0,,,,11729.0,,16731.0,,,,,18484.0,,5790.0,5790.0,,11500,7839,9000,8891,,,,,,47618637,73000610,21409745,54975883,18873557,62688335,27655685,32010858,0.37,0.19,0.38,0.26,,,47060.0,64207.0,,47060.0,64207.0
511,Boston College,,,,,,6353.0,8951.0,17113.0,22285.0,49115.0,,,,,,,,,,,,7950.0,,,,14432.0,,43433.0,,,,,73053.0,,57910.0,57910.0,,18000,15500,16500,17500,,,,,,20214704,41220868,7858964,30217546,6802876,34458566,23201462,30666300,0.54,0.19,0.48,0.26,,,60375.0,76701.0,,60375.0,76701.0
516,Utah State University,10643.0,12034.0,13297.0,16895.0,17223.0,,,,,,,,,,,,,,,,11185.0,,,,12778.0,,17055.0,,,,,,19223.0,,8402.0,23042.0,,14429,9500,9643,8750,,,,,,72510312,91141748,22678015,46914192,14736093,38827586,49829198,54123747,0.33,0.14,0.32,0.16,,,41246.0,50505.0,,41246.0,50505.0
525,Loyola University Chicago,,,,,,29440.0,29788.0,32259.0,36700.0,39048.0,,,,,,,,,,,,29567.0,,,,31270.0,,38418.0,,,,,59194.0,,45543.0,45543.0,,24194,20750,20500,19028,,,,,,69739884,92543016,28292545,57406978,14405184,35504174,61481783,67726047,0.34,0.11,0.36,0.15,,,47083.0,60771.0,,47083.0,60771.0
526,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Colorado School of Mines,17276.0,17832.0,21449.0,30771.0,32024.0,,,,,,,,,,,,,,,,17584.0,,,,19899.0,,31609.0,,,,,,34932.0,,19062.0,39762.0,,23250,20500,20473,19500,,,,,,11720780,26285809,2524744,11729265,2404209,11258565,19788795,23516176,0.48,0.16,0.47,0.26,,,72973.0,87594.0,,72973.0,87594.0
531,Florida International University,5002.0,6683.0,10298.0,13821.0,15737.0,,,,,,,,,,,,,,,,5532.0,,,,8100.0,,14729.0,,,,,,19409.0,,6565.0,18963.0,,17418,15089,14500,15214,,,,,,246130912,239166923,82725287,97059997,12075724,34445420,155872741,154747562,0.23,0.05,0.23,0.07,,,38857.0,52215.0,,38857.0,52215.0
