RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
21,"University of California, San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Northwestern University,,,,,,1866.0,3995.0,6452.0,16784.0,43465.0,,,,,,,,,,,,3217.0,,,,5551.0,,36416.0,,,,,74630.0,,56691.0,56691.0,,15000,11980,12500,15000,,,,,,17829314,35174718,6232533,21900882,6374029,24956050,17466402,22863857,0.40,0.26,0.40,0.32,,,66776.0,83318.0,,66776.0,83318.0
23,Duke University,,,,,,-7808.0,-1314.0,4150.0,18375.0,48680.0,,,,,,,,,,,,-3937.0,,,,1813.0,,41600.0,,,,,75105.0,,58031.0,58031.0,,13500,14172,11000,12500,,,,,,8971877,18517696,3525131,13768277,3669257,16718806,11485532,14900217,0.39,0.25,0.35,0.30,,,69932.0,92741.0,,69932.0,92741.0
24,New York University,,,,,,25937.0,25771.0,32733.0,41038.0,55206.0,,,,,,,,,,,,25876.0,,,,29120.0,,51649.0,,,,,71467.0,,53308.0,53308.0,,20500,18500,19250,18250,,,,,,95881090,149277130,40616226,102410124,29703253,101568479,82502584,95408201,0.40,0.15,0.39,0.21,,,56395.0,72083.0,,56395.0,72083.0
26,University of Wisconsin–Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,University of Illinois at Urbana–Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,University of North Carolina at Chapel Hill,4026.0,6063.0,11060.0,18354.0,22235.0,,,,,,,,,,,,,,,,4927.0,,,,8687.0,,20669.0,,,,,,23776.0,,8980.0,36159.0,,14500,8500,12500,15000,,,,,,41654661,63914617,16032944,37020992,7307167,24752802,46093336,54216764,0.40,0.15,0.38,0.20,,,46617.0,61222.0,,46617.0,61222.0
34,University of Minnesota Twin Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
