,INSTNM,COSTT4_A,GRAD_DEBT_MDN,PCT75_EARN_WNE_P8,PCT25_EARN_WNE_P8,MD_EARN_WNE_P10,NationalRank
86,Rensselaer Polytechnic Institute,70132.0,25000,110244.0,60898.0,93416.0,87
87,Texas Tech University,23157.0,21756,77429.0,35529.0,58435.0,88
88,Saint Louis University,56344.0,25000,81084.0,39639.0,65934.0,89
89,University of Central Florida,21034.0,18750,69434.0,32478.0,51912.0,90
90,University of Mississippi,24822.0,19500,63693.0,28767.0,48255.0,91
91,West Virginia University,21278.0,23421,68794.0,29194.0,51780.0,92
92,Georgia State University,23951.0,21665,58011.0,21986.0,43099.0,93
93,Southern Methodist University,71875.0,21000,98892.0,40759.0,72514.0,94
94,San Diego State University,22990.0,15497,75080.0,33236.0,59027.0,95
95,Clemson University,29499.0,21500,83102.0,37910.0,63857.0,96
96,University of Wyoming,19777.0,18356,69655.0,30568.0,50685.0,97
97,Lehigh University,65652.0,23250,112735.0,60535.0,95033.0,98
98,Brigham Young University,18136.0,12000,95230.0,29213.0,70785.0,99
99,Boston College,70588.0,17500,115945.0,55755.0,93021.0,100
100,Utah State University,18531.0,14500,65983.0,22836.0,50432.0,101
101,Loyola University Chicago,57297.0,24949,79020.0,40368.0,63232.0,102
102,Colorado School of Mines,33038.0,25000,111183.0,62300.0,90060.0,103
103,Florida International University,19434.0,17500,72493.0,32545.0,54501.0,104
104,Auburn University,31282.0,21281,76935.0,36231.0,56933.0,105
105,Syracuse University,65295.0,27000,89498.0,41513.0,71470.0,106
106,University of Alaska Fairbanks,18510.0,19500,59768.0,19798.0,43728.0,107
107,Baylor University,60619.0,24225,75684.0,36339.0,60512.0,108
108,University of Wisconsin-Milwaukee,22226.0,25000,64027.0,31868.0,50707.0,109
109,University of Nevada-Reno,21792.0,19500,72592.0,33043.0,55360.0,110
110,Mississippi State University,24275.0,22865,62607.0,28048.0,46141.0,111
111,University of Maryland-Baltimore County,24522.0,19875,80111.0,36671.0,61751.0,112
112,Augusta University,20618.0,21659,58444.0,24150.0,42408.0,113
113,University of Idaho,20937.0,22550,63849.0,29107.0,48272.0,114
114,University of Louisiana at Lafayette,20807.0,21426,58467.0,26603.0,42350.0,115
115,Rutgers University-Newark,25083.0,21769,85177.0,39703.0,65661.0,116
116,University of Rhode Island,29018.0,22602,81028.0,37171.0,66484.0,117
117,Northern Illinois University,32244.0,22611,68070.0,32034.0,52792.0,118
118,University of Missouri-Kansas City,20934.0,18750,71509.0,32347.0,52279.0,119
119,Southern Illinois University-Carbondale,27945.0,22000,63488.0,28795.0,48803.0,120
120,University of Nevada-Las Vegas,17582.0,18750,67801.0,30367.0,52464.0,121
121,Illinois Institute of Technology,60112.0,25000,92403.0,49646.0,77682.0,122
122,Old Dominion University,23993.0,24500,66351.0,31784.0,49678.0,123
123,University of Toledo,23625.0,22500,63889.0,27439.0,48039.0,124
124,University of North Carolina at Charlotte,22346.0,22623,67994.0,31875.0,52252.0,125
125,Portland State University,21159.0,21500,69098.0,28062.0,51902.0,126
126,University of Denver,64513.0,20833,83783.0,34969.0,66004.0,127
127,East Carolina University,21950.0,24409,63818.0,32418.0,47403.0,128
128,Binghamton University,25846.0,19500,88332.0,41886.0,72980.0,129
129,Michigan Technological University,28176.0,25682,88310.0,41918.0,73541.0,130
130,New Jersey Institute of Technology,30562.0,21800,92362.0,47014.0,80043.0,131
131,Creighton University,52931.0,25000,89195.0,42467.0,66524.0,132
132,Wesleyan University,69905.0,16103,97072.0,32138.0,68102.0,133
133,University of California-Merced,34517.0,18000,77217.0,33687.0,61148.0,134
134,Northern Arizona University,26748.0,19500,63118.0,30472.0,46950.0,135
